,Название сети,Номер магазина в сети,Полный адрес,lat,long,gps
0,Ашан,1,"Республика Татарстан, КАЗАНЬ , Проспект Победы, 9",55.74358999530952,49.19252003039816,"[55.74358999530952, 49.19252003039816]"
1,Ашан,2,"Республика Татарстан, КАЗАНЬ , пр-т Ямашева, д. 46/33",55.82937998968615,49.11923001013659,"[55.82937998968615, 49.11923001013659]"
2,Магнит,1,"420000, Татарстан Респ, Казань г, Беломорская ул, дом № 17, корпус 37",55.86514131296713,49.07773158871475,"[55.86514131296713, 49.07773158871475]"
3,Магнит,2,"420000, Татарстан Респ, Казань г, Даурская ул, дом № 21, корпус 9",55.76505998883633,49.1788100028312,"[55.76505998883633, 49.1788100028312]"
4,Магнит,3,"420000, Татарстан Респ, Казань г, Мамадышский тракт, дом № 10, корпус а",55.79584001367718,49.22624000777782,"[55.79584001367718, 49.22624000777782]"
5,Магнит,4,"420000, Татарстан Респ, Казань г, Нурсултана Назарбаева ул, дом № 66",55.77116000269129,49.13512997754623,"[55.77116000269129, 49.13512997754623]"
6,Магнит,5,"420000, Татарстан Респ, Казань г, Серова ул, дом № 29",55.82686998687072,49.06618002292987,"[55.82686998687072, 49.06618002292987]"
7,Магнит,6,"420004, Татарстан Респ, Казань г, 40 лет Октября ул, дом № 4",55.82300999472989,49.03530000198413,"[55.82300999472989, 49.03530000198413]"
8,Магнит,7,"420004, Татарстан Респ, Казань г, Горьковское Шоссе ул, дом № 6",55.83824000000004,48.96345000000008,"[55.83824000000004, 48.96345000000008]"
9,Магнит,8,"420005, Татарстан Респ, Казань г, Магистральная ул, дом № 77",55.73380999068442,49.1001699814108,"[55.73380999068442, 49.1001699814108]"
10,Магнит,9,"420006, Татарстан Респ, Казань г, Ютазинская ул, дом № 16",55.84112999301456,49.03507997702579,"[55.84112999301456, 49.03507997702579]"
11,Магнит,10,"420011, Татарстан Респ, Казань г, Баки Урманче ул., дом № 8",55.73142999118727,49.17267998176285,"[55.73142999118727, 49.17267998176285]"
12,Магнит,11,"420011, Татарстан Респ, Казань г, Рауиса Гареева ул, дом № 111, корпус 2",55.72431597329191,49.17351855166654,"[55.72431597329191, 49.17351855166654]"
13,Магнит,12,"420015, Татарстан Респ, Казань г, Пушкина ул, дом № 52, кв.1085",55.79405999080933,49.12570997566252,"[55.79405999080933, 49.12570997566252]"
14,Магнит,13,"420021, Татарстан Респ, Казань г, Карима Тинчурина ул, дом № 9",55.7765799927416,49.10604997030742,"[55.7765799927416, 49.10604997030742]"
15,Магнит,14,"420021, Татарстан Респ, Казань г, Татарстан ул, дом № 13",55.77851000976679,49.11112999036496,"[55.77851000976679, 49.11112999036496]"
16,Магнит,15,"420021, Татарстан Респ, Казань г, Татарстан ул, дом № 18",55.78199000832717,49.11391001619114,"[55.78199000832717, 49.11391001619114]"
17,Магнит,16,"420021, Татарстан Респ, Казань г, Татарстан ул, дом № 52",55.77895999223875,49.10993003710635,"[55.77895999223875, 49.10993003710635]"
18,Магнит,17,"420021, Татарстан Респ, Казань г, Татарстан ул, дом № 7",55.78095999815545,49.11460998892534,"[55.78095999815545, 49.11460998892534]"
19,Магнит,18,"420025, Татарстан Респ, Казань г, Джаудата Файзи ул, дом № 15",55.7923600151168,49.22440998685752,"[55.7923600151168, 49.22440998685752]"
20,Магнит,19,"420025, Татарстан Респ, Казань г, Победы пр-кт, дом № 190, корпус А",55.73511026925788,49.18096457533593,"[55.73511026925788, 49.18096457533593]"
21,Магнит,20,"420029, Татарстан Респ, Казань г, Сибирский Тракт ул, дом № 22, корпус 6",55.81181001188784,49.18177996258333,"[55.81181001188784, 49.18177996258333]"
22,Магнит,21,"420029, Татарстан Респ, Казань г, Сибирский Тракт ул, дом № 44, корпус Б",55.83762190596536,49.1968689305092,"[55.83762190596536, 49.1968689305092]"
23,Магнит,22,"420030, Татарстан Респ, Казань г, Боевая ул, дом № 120",55.80098000625193,49.01705997484601,"[55.80098000625193, 49.01705997484601]"
24,Магнит,23,"420030, Татарстан Респ, Казань г, Боевая ул, дом № 26",55.79986999081441,49.03454001482322,"[55.79986999081441, 49.03454001482322]"
25,Магнит,24,"420030, Татарстан Респ, Казань г, Столярова ул, дом № 3",55.79925999781082,49.06658000734942,"[55.79925999781082, 49.06658000734942]"
26,Магнит,25,"420030, Татарстан Респ, Казань г, Урицкого ул, дом № 24",55.79799001375119,49.05824998815461,"[55.79799001375119, 49.05824998815461]"
27,Магнит,26,"420030, Татарстан Респ, Казань г, Урицкого ул, дом № 31, корпус 53",55.79777215227056,49.05894462599333,"[55.79777215227056, 49.05894462599333]"
28,Магнит,27,"420032, Татарстан Респ, Казань г, Степана Халтурина ул, дом № 10",55.81642001672481,49.0591500369176,"[55.81642001672481, 49.0591500369176]"
29,Магнит,28,"420032, Татарстан Респ, Казань г, Степана Халтурина ул, дом № 16",55.81721001109909,49.05923000027389,"[55.81721001109909, 49.05923000027389]"
30,Магнит,29,"420033, Татарстан Респ, Казань г, Кулахметова ул, дом № 17, корпус 2, кв.1028",55.82571001529027,49.05437000517472,"[55.82571001529027, 49.05437000517472]"
31,Магнит,30,"420033, Татарстан Респ, Казань г, Сабан ул, дом № 7, корпус а, кв.1002",55.82691998492317,49.05326996420197,"[55.82691998492317, 49.05326996420197]"
32,Магнит,31,"420033, Татарстан Респ, Казань г, Фрунзе ул, дом № 11",55.82292001499931,49.04915998179891,"[55.82292001499931, 49.04915998179891]"
